ID,NAME,PROVINCECODE,PROVINCE,CITYCODE,CITY,COUNTYCODE,COUNTY,TYPE,TYPECODE,ADDRESS,XGCJ,YGCJ,XWGS,YWGS,RATE,COST
B0FFKG4J49,泛悦·城市奥特莱斯,420000,湖北省,027,武汉市,420111,洪山区,购物服务;商场;普通商场,060102,珞狮南路425号,114.350578,30.512427,114.345069791,30.514781061,4.5,
B0FFKDO4SE,金银潭购物中心,420000,湖北省,027,武汉市,420112,东西湖区,购物服务;商场;购物中心,060101,金银潭大道1号,114.238037109375,30.650535583496094,114.23260498046875,30.652973175048828,,
B0FFKU5T7T,新游唐人街,420000,湖北省,027,武汉市,420106,武昌区,购物服务;商场;商场,060100,徐东大街120号群星城1楼3号商铺,114.349987,30.584347000000001,114.34447338,30.586677375899999,3.5,
B0FFKFJ6BJ,文体汇,420000,湖北省,027,武汉市,420102,江岸区,购物服务;商场;购物中心,060101,兴业路59号,114.27319,30.629175,114.26777185,30.631612975,,
B0FFKDQP1T,汉鑫广场,420000,湖北省,027,武汉市,420116,黄陂区,购物服务;商场;普通商场,060102,汉口北大道汉北·轻轨1号西北侧约200米,114.331836,30.711486,114.326339711,30.7137943527,,
B0FFKT4B0Y,onion洋葱海外仓(江腾广场),420000,湖北省,027,武汉市,420105,汉阳区,购物服务;商场;免税品店,060103,马鹦路江腾广场A座1层背面,114.256233,30.537004,114.250822824,30.5394862557,3.5,
B0FFKCOBWI,金融港广场,420000,湖北省,027,武汉市,420115,江夏区,购物服务;商场;商场,060100,金融港四路与金融港路交叉口,114.429469,30.454355,114.42396566,30.4566912384,3.5,
B0FFKP7WYS,武商广场购物中心北区,420000,湖北省,027,武汉市,420103,江汉区,购物服务;商场;购物中心,060101,解放大道688号,114.26992300000001,30.580304000000002,114.264510019,30.5827640475,,
B0FFKC5A44,武汉K11购物艺术中心,420000,湖北省,027,武汉市,420104,硚口区,购物服务;商场;购物中心,060101,解放大道628号,114.265515,30.578995,114.26010272,30.5814585051,,
B0FFK54EID,汉口新界悦街,420000,湖北省,027,武汉市,420103,江汉区,购物服务;商场;普通商场,060102,航空路26号附近,114.261749,30.585433,114.256336009,30.5878960616,,
B0FFKDUBSS,武汉天地壹方北馆,420000,湖北省,027,武汉市,420102,江岸区,购物服务;商场;普通商场,060102,永和路8号,114.314103,30.616206,114.308643506,30.618590797,5.0,
B0FFKZUK5Z,德玛假日帝诗卡特全球优品,420000,湖北省,027,武汉市,420112,东西湖区,购物服务;商场;免税品店,060103,美联·德玛假日10栋1层商11,114.152332,30.656046,114.146690249,30.6583537152,,
B0FFKZWWEN,绿叶滠口新城轻轨站店,420000,湖北省,027,武汉市,420116,黄陂区,购物服务;商场;免税品店,060103,[],114.342025,30.683994,114.336514713,30.6862963377,,
B0FFL13JWZ,庭悦荟,420000,湖北省,027,武汉市,420112,东西湖区,购物服务;商场;商场,060100,环湖中路9号,114.224767,30.657789,114.219312944,30.6602134797,4.5,
B0FFKKBVM9,KAVON百联奥莱旗舰店,420000,湖北省,027,武汉市,420116,黄陂区,购物服务;商场;商场,060100,百联奥莱2期556-557、756-757,114.258176,30.732818,114.252749565,30.7352168819,,
B0FFKRJTWJ,vinnejuan,420000,湖北省,027,武汉市,420102,江岸区,购物服务;商场;免税品店,060103,安居西路193号德洛莉丝,114.310327,30.641787,114.304870967,30.6441679089,,
B0FFKS75C5,HORIZON壹方北馆,420000,湖北省,027,武汉市,420102,江岸区,购物服务;商场;商场,060100,火箭军指挥学院家属院,114.30766296386719,30.619422912597656,114.30221557617187,30.621818542480469,3.5,
B0FFKP7WYR,武商广场购物中心南区,420000,湖北省,027,武汉市,420103,江汉区,购物服务;商场;购物中心,060101,解放大道688号,114.270481,30.579753,114.265067934,30.582212828900001,,
B0FFKTZOCK,武汉环球广场,420000,湖北省,027,武汉市,420116,黄陂区,购物服务;商场;普通商场|购物服务;商场;购物中心,060102|060101,盘龙城巨龙大道39号(香奈天鹅湖旁),114.28957366943359,30.701396942138672,114.28414154052734,30.70378303527832,3.5,
B0FFL21K4T,群光广场二馆,420000,湖北省,027,武汉市,420111,洪山区,购物服务;商场;商场,060100,珞喻路6号,114.356771,30.525302,114.351253186,30.5276417496,,
B0FFKTSNSR,匠心汇(铁机路店),420000,湖北省,027,武汉市,420111,洪山区,购物服务;商场;商场,060100,欢乐大道300号,114.381292,30.590141,114.375745739,30.5924270371,3.5,
